"","Year Month","Hour","Victimisations","Territorial Authority","Area Unit","Crimes type","ANZSOC Division","ANZSOC Group"
"1","1/02/15",14,1,"Christchurch City.","St Albans East.","property crimes","Theft and Related Offences","Illegal Use of Property (Except Motor Vehicles)"
"2","1/02/15",21,1,"Christchurch City.","Addington.","violent crimes","Abduction, Harassment and Other Related Offences Against a Person","Abduction and Kidnapping"
"3","1/02/15",10,1,"Christchurch City.","Sydenham.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"4","1/02/15",16,1,"Christchurch City.","Cathedral Square.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"5","1/02/15",17,1,"Waimakariri District.","Rangiora East.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"6","1/02/15",19,1,"Christchurch City.","Sydenham.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"7","1/02/15",7,1,"Christchurch City.","Riccarton.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"8","1/05/15",99,1,"Christchurch City.","Riccarton.","property crimes","Theft and Related Offences","Illegal Use of Property (Except Motor Vehicles)"
"9","1/07/15",15,1,"Christchurch City.","Mairehau North.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"10","1/04/15",12,1,"Waitaki District.","Aviemore.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"11","1/02/15",99,1,"Christchurch City.","Belfast.","property crimes","Theft and Related Offences","Illegal Use of Property (Except Motor Vehicles)"
"12","1/04/15",12,1,"Christchurch City.","Addington.","property crimes","Theft and Related Offences","Illegal Use of Property (Except Motor Vehicles)"
"13","1/02/15",99,1,"Christchurch City.","Upper Riccarton.","property crimes","Theft and Related Offences","Illegal Use of Property (Except Motor Vehicles)"
"14","1/03/15",99,1,"Christchurch City.","Avon Loop.","property crimes","Theft and Related Offences","Illegal Use of Property (Except Motor Vehicles)"
"15","1/03/15",99,1,"Christchurch City.","Hagley Park.","property crimes","Theft and Related Offences","Illegal Use of Property (Except Motor Vehicles)"
"16","1/06/15",0,1,"Christchurch City.","Riccarton South.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"17","1/07/15",15,1,"Christchurch City.","Shirley East.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"18","1/05/15",16,1,"Christchurch City.","Casebrook.","property crimes","Theft and Related Offences","Illegal Use of Property (Except Motor Vehicles)"
"19","1/06/15",99,2,"Selwyn District.","Taitapu.","violent crimes","Abduction, Harassment and Other Related Offences Against a Person","Abduction and Kidnapping"
"20","1/02/15",99,1,"Selwyn District.","Darfield.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"21","1/02/15",13,1,"Mackenzie District.","Fairlie.","violent crimes","Acts Intended to Cause Injury","Common Assault"
